Simulation error	Error en la simulación
Comma delimited file (*.csv)|*.csv|All files (*.*)|*.*	Archivos delimitados por comas(*.csv)|*.csv|Todos los archivos (*.*)|*.*
Windows metafile (*.wmf)|*.wmf|All files (*.*)|*.*	Metarchivo de Windows (*.wmf)|*.wmf|Todos los archivos (*.*)|*.*
Text files (*.csv, *.txt)|*.csv; *.txt|All files (*.*)|*.*	Archivos de texto (*.csv, *.txt)|*.csv; *.txt|Todos los archivos (*.*)|*.*
Show cumulative probability	Mostrar probabilidad acumulada
Add point	Agregar punto
Remove point	Remover punto
New...	Nuevo...
Click to create a new function	Hacer clic para crear nueva función
Remove	Remover
Click to permanently remove the specified function	Hacer clic para remover la función especificada en forma permanente
Edit...	Editar...
Click to alter the specified function	Hacer clic para alterar la función especificada
Clear	Limpiar
Click to clear the selected function for this parameter	Hacer clic para borrar la función elegida para este parámetro
(Select a function type)	(Elegir tipo de función)
Value:	Valor:
Parameters	Parámetros
Mean:	Media:
Standard deviation:	Desvío estándar:
Minimum:	Mínimo:
Mode:	Modo:
Maximum:	Máximo:
Alpha:	Alfa:
Beta:	Beta:
Location:	Ubicación:
Scale:	Escala:
View/Edit Points	Ver/Editar puntos
Shape:	Forma:
Zeta:	Zeta:
Sigma':	Sigma':
Alpha1:	Alfa1:
Alpha2:	Alfa2:
Convert to piecewise...	Convertir a
Function type:	Tipo de función:
X axis units:	Unidades en eje X:
Y axis units:	Unidades en eje Y:
Save data to file...	Guardar datos en archivo...
Save chart(s) to file...	Guardar gráfico(s) en el archivo...
Print data...	Imprimir datos
Print chart(s)...	Imprimir gráfico(s)...
Copy data to clipboard	Copiar datos en el portapapeles
Copy chart(s) to clipboard	Copiar gráfico(s) en el portapapeles
Close	Cerrar
&Save data to file...	&Guardar datos en el archivo...
S&ave chart(s) to file...	Guardar gráfico(s) en el archivo...
&Print data...	&Imprimir datos...
P&rint chart(s)...	I&mprimir gráfico(s)...
&Close	&Cerrar
&Copy data to clipboard	&Copiar datos en el portapapeles
C&opy chart(s) to clipboard	C&opiar gráfico(s) en el portapapeles
About NAADSM	Acerca de NAADSM
&License...	&Licencia...
Version xyz Build abc	Versión xyz Compilación abc
This is an experimental version of the North American Animal Disease Spread Model.  This version deviates from the published conceptual specification in ways that may significantly affect the simulation outcome.	Esta es una versión experimental del Modelo Norte Americano de Diseminación de Eenfermades Animales.  Esta versión se desvía de las especificaciones conceptuales publicadas de tal forma que pudiera afectar significativamente el resultado de la simulación.
NAADSM-Cheyenne	NAADSM-Cheyenne
Scenario parameters: Airborne spread	Parámetros de situación: Diseminación aerógena
Airborne spread	Diseminación aerógena
Scenario parameters: Contact spread	Parámetros de situación: Diseminación por contacto
Contact spread	Diseminación por contacto
Scenario parameters: Cost accounting options	Parámetros de situación: Opciones de costos
Cost accounting options	Opciones de contabilidad de costos
For which control measures do you want to track DIRECT COSTS?	¿Para qué medidas de control quiere usted llevar cuenta de los COSTOS DIRECTOS?
Track costs of destruction	Llevar costos de destrucción
Track costs of vaccination	Llevar costos de vacunación
Track costs of surveillance in zones	Llevar costos de zonas de vigilancia
Scenario parameters: Costs of destruction	Parámetros de situación: Costos de destrucción
Costs of destruction	Costos de destrucción
Scenario parameters: Costs of vaccination	Parámetros de situación: Costos de vacunación
Costs of vaccination	Costos de vacunación
Scenario parameters: Costs of zone surveillance	Parámetros de situación: Costos de zona de vigilancia
Costs of zone surveillance	Costos de zona de vigilancia
Custom outputs	Resultados personalizados
Custom output definitions	Definiciones de resultados personalizados
Press CTRL + left mouse button to select multiple definitions	Oprimir CTRL+ el botón izquierdo del ratón para elegir definiciones múltiples
SQL statement:	Instrucción SQL:
Output frequency:	Frecuencia de resultados:
Generate once per iteration	Generar un vez por repetición
Generate for every production type for every iteration	Generar para cada tipo de producción para cada repetición
Generate for every zone for every iteration	Generar para cada zona para cada repetición
Generate for every zone and every production type for every iteration	Generar para cada zona y cada tipo de producción para cada repetición
Output type:	Tipo de resultado:
Number - integer	Número - entero
Number - floating point	Número - coma flotante
String	Secuencia
Add definition	Agregar definición
Remove selected definition	Remover las definiciones seleccionadas
Test current/selected definition	Probar las definiciones actuales/seleccionadas
Rename current/selected definition	Renombrar las definiciones actuales/seleccionadas
This feature of NAADSM/PC is not well documented and may not be fully implemented.  It is intended for experts and others who don't mind living dangerously...	Esta característica del NAADSM/PC no está bien documentada y puede que no se implemente de forma completa. Está dirigida a los expertos y a otros a quienes no les importa vivir en peligro...
unitsVacc5DaysPostDetection	unitsVacc5DaysPostDetection
animalsVacc5DaysPostDetection	animalsVacc5DaysPostDetection
unitsDestr5DaysPostDetection	unitsDestr5DaysPostDetection
Chart of status of units, by day, for current/last iteration	Gráfico diario de estado de unidades para la actual/última repetición
Iteration:	Repetición:
Susceptible	Susceptible
Nat Immune	Inmunidad nat
Latent	Latente
Vac Immune	Inmunidad vac
Subclinical	Subclínico
Destroyed	Destruido
Clinical	Clínico
Milestones	Logros
Chart of status of zones, by day, for current/last iteration	Gráfico diario de estado de zonas para la actual/última repetición
Y axis	Eje Y
Area	Area
# of units	# de unidades
# of animals	# de animales
Unit days	Unidad días
Animal days	Animal días
Scenario parameters: Global destruction options	Parámetros de situación: Opciones de destrucción global
Global destruction options	Opciones de destrucción global
Scenario parameters: Destruction priorities	Parámetros de situación: Prioridades de destrucción
Destruction priorities	Prioridades de destrucción
Scenario parameters: Destruction	Parámetros de situación: Destrucción
Destruction	Destrucción
Scenario parameters: Detection	Parámetros de situación: Detección
Detection	Detección
Scenario parameters: Disease	Parámetros de situación: Enfermedad
Disease	Enfermedad
Export scenario	Exportar situación
Scenario parameters file:	Archivo de parámetros de situación:
List of units:	Lista de unidades:
Export	Exportar
Items to import:	Elementos a importar:
Export scenario parameters file	Exportar archivo de parámetros de situación
Export list of units	Exportar lista de unidades
Include output specification for NAADSM/SC	Incluir especificación de resultados para NAADSM/SC
XML files (*.xml)|*.xml|All files (*.*)|*.*	Archivos XML (*.xml)|*.xml|Todos los archivos (*.*)|*.*
Scenario parameters: Start setup	Parámetros de situación: Configuración de comienzo
General description of the simulation session	Descripción general de la sesión de simulación
Start setup	Configuración del comienzo
Scenario description:	Descripción de situación:
(Time to run)	(Tiempo de corrida)
A simulation runs until:	La simulación corre hasta que:
Number of iterations	Número de repeticiones
1) there are no more incubating or contagious units in the replicate	1) no hayan más unidades en incubación o contagiosas en la repetición
AND all vacination and/or destruction activities have been completed	Y todas las actividades de vacunación y/o de destrucción se hayan completado
OR	O
AND the stipulated number of iterations are completed	Y se ha completado el número estipulado de repeticiones
Currently on iteration number	Se encuentra en repetición número
Time to run this set of iterations:	Tiempo de correr este juego de repeticiones:
2) the stop button is pressed (the current simluation day will still be completed)	2) el botón de parada se encuentre oprimido (no obstante se completará el día de simulación actual)
Random number generator seed	Semilla generadora de números aleatorios
Seed value (integer):	Valor de la semilla (entero):
Generate seed automatically	Generar semilla automáticamente
Specify a seed value	Especificar un valor de semilla
Unit list export options	Opciones para exportar la lista de unidades
File format	Formato del archivo
CSV options	Optiones CSV
Production types	Tipos de producción
Initial disease states	Estados de enfermedad inicial
(There are no XML options)	(No hay opciones XML)
Export as CSV	Exportar como CSV
Export as XML	Exportar como XML
Export production types by name	Exportar tipos de producción por su nombre
Export production types by number	Exportar tipos de producción por número
Export initial states as character codes	Exportar estados iniciales como códigos de caracteres
Export initial states as numeric codes	Exportar estados iniciales como códigos numéricos
Scenario parameters: Set up starting units	Parámetros de situación: Establecer unidades iniciales
Set up starting units	Establecer unidades iniciales
Export unit list to file	Exportar lista de unidades al archivo
Print unit list	Imprimir lista de unidades
Import and replace existing unit list	Importar y reemplazar la lista existente de unidades
Import and append to existing unit list	Importar y añadir a la lista existente de unidades
Remove selected unit(s)	Remover la(s) unidad(es) seleccionada(s)
Import and append to existing unit list...	Importar y añadir a la lista existente de unidades...
Import and replace existing unit list...	Importar y reemplazar la lista existente de unidades...
Export to file...	Exportar al archivo...
Save changes and finish	Guardar los cambios y terminar
Discard changes and exit	Descartar los cambios y salir
Select &all visible units	Seleccionar &todas las unidades visibles
All NAADSM files (*.csv, *.xml)|*.csv;*.xml|Comma separated values (*.csv)|*.csv|NAADSM XML (*.xml)|*.xml|All files (*.*)|*.*	Todos los archivos del NAADSM (*.csv, *.xml)|*.csv;*.xml|Valores separados por comas (*.csv)|*.csv|NAADSM XML (*.xml)|*.xml|Todos los archivos (*.*)|*.*
&Import and append to existing unit list...	&Importar y añadir a la lista existente de unidades...
I&mport and replace existing unit list...	I&mportar y reemplazar la existente lista de unidades...
&Export to file...	&Exportar al archivo...
&Print unit list	&Imprimir lista de unidades
&Save changes and finish	&Guardar los cambios y terminar
&Discard changes and exit	&Descartar los cambios y salir
&Remove selected unit(s)	&Remover la(s) unidad(es) seleccionada(s)
Import scenario	Importar situación
Scenario database file to create:	Archivo para crear la base de datos de situación:
Import existing XML files to the database	Importar archivos XML existentes a la base de datos
Import	Importar
Import scenario parameters file	Importar archivo de parámetros de situación
Import list of units	Importar lista de unidades
NAADSM scenario databases (*.mdb)|*.mdb|All files (*.*)|*.*	Base de datos de situación del NAADSM (*.mdb)|*.mdb|Todos los archivos (*.*)|*.*
Summary of 1 iteration	Resumen de 1 repetición
Epidemiology	Epidemiología
Cost accounting	Contabilidad de costos
Simulation status: completed/aborted/running	Estado de la simulación: completo/abortado/corriendo
Lat/lon range selection	Rango de selección de lat/lon
Inclusion/exclusion	Inclusión/exclusión
Select units within the specified area	Seleccionar las unidades en el área especificada
Select units that are NOT within the specified area	Seleccionar unidades que NO se encuentran dentro del área especificada
Area shape	Forma del área
Rectangular area	Area rectangular
Circular area	Area circular
Northwest corner:	Esquina noroeste:
Latitude:	Latitud:
Longitude:	Longitud:
Southeast corner:	Esquina sudeste:
Center coordinates:	Coordenadas centrales:
Circle radius (km):	Radio del círculo (km):
NAADSM 3.1	NAADSM 3.1
Open a file to start a new session	Abra el archivo para comenzar una nueva sesión
Stop	Parar
Message	Mensaje
&Exit	&Salir
&Start setup	Iniciar con&figuración
&Production type(s)	Tipo(s) de &producción
S&et up starting units	&Unidades iniciadoras de configuración
&About NAADSM...	&Acerca de NAADSM...
&Open scenario file...	&Abrir archivo de situaciones...
&Disease	&Enfermedad
&Disease options	&Opciones de enfermedad
&Production type settings for disease	Configuración de tipos de &producción para enfermedad
Disease sp&read	Di&seminación de enfermedad
&Spread options	&Opciones de diseminación
&Production type combinations	Combinaciones de tipos de &producción
&Contact spread	Diseminación por &contacto
&Airborne spread	Diseminación &aerógena
De&tection	De&tección
&Detection options	&Opciones de detección
&Production type settings for detection	Configuración de tipos de &producción para detección
&Tracing	Ras&treo
&Global tracing options	Opciones de rastreo &global
&Production type settings for tracing	Configuración del rastreo para tipos de &producción
Destructio&n	Destrucció&n
&Global destruction options	Opciones de destrucción &global
&Destruction priorities	Prioridades de &destrucción
&Production type settings for destruction	Configuración de tipos de &producción para destrucción
&Vaccination	&Vacunación
&Global vaccination options	Opciones de vacunación &global
&Vaccination priorities	Prioridades de &vacunación
&Production type settings for vaccination	Configuración de tipos de &producción para vacunación
&Cost accounting	&Contabilidad de costos
&Cost accounting options	Opciones de &contabilidad de costos
Production type settings for &destruction costs	Configuración de tipos de producción para costos de &destrucción
Production type settings for &vaccination costs	Configuración de tipos de producción para costos de &vacunación
Production type settings for &zone surveillance costs	Configuración de tipos de producción para costos de &zona de vigilancia
&Interactive/advanced	&Interactivo/avanzado
&Map of units	&Mapa de unidades
Daily unit status (single iteration)	Estado diario de unidades (una repetición)
&Events by day	&Eventos por día
&Single iteration summary	&Resumen de una repetición
Help	Ayuda
Opens the help file	Abre el archivo de ayuda
Output statistics	Estadísticas de resultados
Summary epidemic curves	Resumen de curvas epidémicas
Start and run until specified day...	Comenzar y ejecutar hasta el día especificado...
Start and run until first detection(s)	Comenzar y ejecutar hasta la(s) primera(s) detección(es)
Start and run to the end of active disease phase(s)	Comenzar y ejecutar hasta el final de la(s) fase(s) de enfermedad activa
Start and run until end of outbreak(s)	Comenzar y ejecutar hasta el final del (de los) brote(s)
Contact-exposure events by day	Eventos de contacto-exposición por día
&Cascade	&Cascada
&Arrange	&Arreglar
View current units	Ver unidades actuales
Unused1	Unused1
Close all &windows	Cerrar todas las &ventanas
&New scenario file	&Archivo de nueva situación
&Save scenario file	&Guardar archivo de situación
Sa&ve As...	G&uardar como...
Append output	Añadir resultados
&Import scenario...	&Importar situación...
&Close scenario file	&Cerrar archivo de situación
&Export scenario...	&Exportar situación...
Output options	Opciones de resultados
Clear scenario output	Borrar resultados de situación
Verify current units	Verificar unidades actuales
C&heck scenario validity	C&omprobar validez de situación
&Empty scenario	Situación &vacia
&US Midwest scenario	Situación de centro-oeste de &US
Go to the NAADSM &website	Ir a la &página de NAADSM
Opens the NAADSM website in your default browser	Abrir la página de NAADSM en su buscador por defecto
Custom output options	Opciones de resultados personalizadas
Define custom outputs	Definir resultados personalizados
Zones	Zonas
Zone options	Opciones de zonas
Create/modify zones	C&rear/modificar zonas
Production type settings for zones	Configuración de tipos de producción para zonas
Com&pare to another scenario...	Com&parar con otra situación...
Daily zone status (single iteration)	Estado diario de zona (una repetición)
&New empty scenario file	&Nuevo archivo de situación vacia
&Sample scenario file	&Muestra de archivo de situación
E&xit	S&alir
Trac&ing	R&astreo
&Zone options	&Opciones de zona
&Create/modify zones	&Crear/modificar zonas
&Production type settings for zones	Configuración de tipos de &producción para zonas
&Zones	&Zonas
&Output options	&Opciones de resultados
&Custom output options	Opciones de resultados a la &medida
&Define custom outputs	&Definir resultados personalizados
C&ustom outputs	Resultados a la m&edida
&Clear scenario output	&Borrar resultados de situación
&Start and run until specified day...	&Comenzar y ejecutar hasta el día especificado...
St&art and run until first detection(s)	Com&enzar y ejecutar hasta la(s) primera(s) detección(es)
Start a&nd run to the end of active disease phase(s)	Comenzar &y ejecutar hasta el final de la(s) fase(s) activa(s) de la enfermedad
Sta&rt and run until end of outbreak(s)	Come&nzar y ejecutar hasta el final del (de los) brote(s)
S&top simulation	&Parar simulación
&Map of units for 1 iteration	&Mapa de unidades para 1 repetición
&Daily unit status for 1 iteration	Estado &diario de unidades para 1 repetición
Da&ily zone status for 1 iteration	Estado d&iario de zona para 1 repetición
&Summary of 1 iteration	Re&sumen para 1 repetición
C&ontact-exposure events by day	Eventos de c&ontacto-exposición por día
O&utput statistics	Estadísticas de res&ultados
Summa&ry epidemic curves	Resume&n de curvas epidémicas
Apparent map of units, current/final day	Mapa aparente de unidades, día actual/final
Size	Tamaño
Status	Estado
Zoom in	Acercar la vista
Zoom out	Alejar la vista
Fit to window	Ajustar a la ventana
Events for 1 iteration	Eventos para 1 repetición
Iteration status: completed/aborted/running	Estado de repetición: completado/abortado/ejecutando
Filter by:	Filtre de acuerdo a:
Day:	Día:
Event type:	Tipo de evento:
Unit ID:	ID de unidad:
(No filter)	(Ningún filtro)
Sort by:	Distribuya de acuerdo a:
Sort order:	Orden:
Day	Día
Ascending	Ascendente
Descending	Descendente
Unit ID	ID de unidad
Event type	Tipo de evento
Infections	Infecciones
State changes	Cambios de estado
Detections	Detecciones
Destructions	Destrucciones
Vaccinations	Vacunaciones
Traces of direct contact	Rastreos de contacto directo
Traces of indirect contact	Rastreos de contacto indirecto
Zone changes	Cambios de zona
Creation of zone foci	Creación de focos de zona
Event order on day	Orden de eventos
Unit type	Tipo de unidad
New state	Nuevo estado
Successful trace	Rastreo exitoso
Exposures for 1 iteration	Exposiciones para 1 repetición
Source type:	Tipo de fuente:
Recipient type:	Tipo de recipiente:
Exposure type:	Tipo de exposición
Source unit ID:	ID de unidad de fuente:
Recipient unit ID:	ID de unidad recipiente:
Status:	Estado:
Successful exposures	Exposiciones exitosas
Unsuccessful exposures	Exposiciones infructuosas
Source unit ID	ID de unidad de fuente
Source unit status	Estado de unidad de fuente
Exposure type	Tipo de exposición
Exposure success	Exito de exposición
Recipient unit ID	ID de unidad recipiente
Recipient unit status	Estado de unidad recipiente
Direct contacts	Contactos directos
Indirect contacts	Contactos indirectos
Naturally immune	Inmunidad natural
Vaccine immune	Inmunidad vacunal
Exp. on day	Exp. en el día
Source type	Tipo de fuente
Source status	Estado de fuente
Exp. type	Tipo de exp.
Exp. success	Exito de exposición
Recipient type	Tipo de recibidor
Recipient status	Estado del recibidor
Scenario parameters: Output options	Parámetros de situación: Opciones para resultados
Select optional outputs that you would like to generate and record from those listed below.  Some of these selections will result in decreased performance and very large scenario database files: use these options with caution.	Seleccione los resultados opcionales que usted quisiera generar y guardar de los listados a continuación.  Algunas de estas selecciones resultaran en desempeño disminuído y un archivo de base de datos de situación muy grande: use estas opciones con prudencia.
Daily unit states	Estados de unidad diarios
Write a plain text file containing daily states for all units	Escriba un archivo de texto simple que contenga estados diarios para todas unidades
Plain text file (*.txt)|*.txt|All files (*.*)|*.*	Archivo de texto simple (*.txt)|*.txt|Todos los archivos (*.*)|*.*
Daily output for iterations	Resultados diarios para repeticiones
Number of iterations:	Número de repeticiones
Save all daily output for every iteration (warning: this option may produce very large scenario files)	Guardar todos los resultados diarios para cada repetición (advertencia: esta opción puede producir archivos de situacións muy grandes)
Save all daily output for a specified number of iterations	Guardar todos los resultados para un número específico de repeticiones
Daily events and exposures	Eventos y exposiciones diarias
Save information for each event (scenario files may be very large)	Guardar la información para cada evento (archivos de situacións pueden ser muy grandes)
Save information for each exposure (scenario files may be very large)	Guardar la información para cada exposición (archivos de situacións pueder ser muy grandes)
NAADSMap output	Resultados por NAADSMap
lblNAADSMapDir	lblNAADSMapDir
Folder for NAADSMap output:	Archivo para resultados por NAADSMap
Generate NAADSMap output	Generar resultados por NAADSMap
Options...	Opciones...
Select folder...	Seleccionar archivo...
Scenario parameters	Parámetros de situación
CHANGE THIS IN DERIVED CLASSES	CHANGE THIS IN DERIVED CLASSES
Prioritize by dragging items up or down in both primary or secondary lists.  Drag higher priority items up and lower priority items down.  Or right-click the item in the white list box and change the priority number.	Priorice arrastrando los ítemes hacia arriba o abajo en ambas listas primarias o secundarias.  Arrastre ítemes de más alta prioridad arriba y de baja prioridad abajo.  O  haga clic con el botón secundario del ratón.
Priority examples for selections above	Ejemplos
Primary	Primaria
Secondary	Secundaria
The more days holding, the higher the priority	Mientras más días en espera, mayor es la prioridad
Reason for destruction	Razón de destrucción
Production type	Tipo de producción
Days holding	Días en espera
Pigs	Cerdos
Cattle	Bovino
Dairy	Bovino lechero
Detected	Detectado
Direct contact	Contacto directo
Indirect contact	Contacto indirecto
Circle	(Noun or verb?) Haga un círculo alrededor de
Scenario parameters: Production type(s)	Parámetros de situación: Tipo(s) de producción
Press CTRL + left mouse button to select multiple production types	Oprima CTRL + botón primario del ratón para seleccionar múltiples tipos de produccción
Production type(s)	Tipo(s) de producción
Add production type	Añadir tipo de producción
Modify selected production type	Modificar tipo de producción seleccionado
Remove selected production type(s)	Remover tipo(s) de producción seleccionado(s)
Cattle - beef	Bovino de engorde
Cattle - dairy	Bovino lechero
Mixed - beef/dairy	Bovino - engorde y lechero
Swine - confinement	Cerdo - confinamiento
Swine - outside	Cerdo - afuera
Apply to all	Aplicar a todos
Production type combinations	Combinaciones de tipo de producción
Scenario parameters: Production type combinations	Parámetros de situación: Combinaciones de tipo de producción
Press CTRL key to select more than one production type	Oprima la tecla CTRL para seleccionar más de un tipo de producción
Add	Añadir
Removes selected combinations from the model	Remueve combinaciones seleccionadas del modelo
Includes selected combinations in the model	Incluye combinaciones seleccionadas en el modelo
Choose from all combinations	Escojer de entre todas las combinaciones
Match production types below	Parear tipos de producción abajo
Scenario comparison	Comparación de situaciones
FileNameB	FileNameB
FileNameA	FileNameA
SM Output Base Class	SM Output Base Class
Save data to file	Guardar datos en archivo
Print data	Imprimir datos
Save chart to file	Guardar gráfico en archivo
Copy chart to clipboard	Copiar gráfico al portapapeles
Print chart	Imprimir gráfico
Windows Metafile (*.wmf)|*.wmf|All files (*.*)|*.*	Metarchivo de Windows (*.wmf)|*.wmf|Todos los archivos (*.*)|*.*
CSV (Comma delimted) (*.csv)|*.csv|All files (*.*)|*.*	CSV (delimitado por coma) (*.csv)|*.csv|Todos los archivos (*.*)|*.*
*	*
&Select...	&Seleccionar
Save this information and select another screen	Guardar esta información y seleccionar otra pantalla
NAADSM splash screen	NAADSM splash screen
Please see 'About NAADSM' for contact and support information.	Por favor, vea 'Acerca de NAADSM' para informació de contacto y ayuda.
Copyright © 2003 - 2008 Animal Population Health Institute at Colorado State University and University of Guelph	Derechos de autor © 2003 - 2008 Animal Population Health Institute a Colorado State University y University of Guelph
Scenario parameters: Spread options	Parámetros de situación: Opciones de diseminación
Spread options	Opciones de diseminación
What type of SPREAD would you like to model during simulation runs?	¿Qué tipo de DISEMINACION quisiera modelar durante las simulaciones?
Airborne	Aerógeno
Contact	Contacto
Both airborne and contact	Ambos, aerógeno y contacto
No spread	Ninguna diseminación
For airborne spread:	Para diseminación aerógena:
Rate of disease transfer declines linearly from source	Tasa de transferencia de la enfermedad declina linealmente desde la fuente
Rate of disease transfer declines exponentially from source	Tasa de transferencia de la enfermedad declina exponencialmente desde la fuente
Simulation days per interval:	Días de simulación por intervalo:
units	unidades
Animals	Animales
Actual epidemic curve	Curva epidémica real
Apparent epidemic curve	Curva epidémica aparente
Graphical view	Vista gráfica
Tabular view	Vista tabular
Scenario parameters: Tracing	Parámetros de situación: Rastreo
Tracing	Rastreo
Scenario parameters: Global tracing options	Parámetros de situación: opciones de rastreo global
Global tracing options	Opciones de rastreo global
Conduct trace-forward (trace-out) investigations for some or all production types	Conducir investigaciones de rastreo prospectivo para algunos o todos los tipos de producción
Scenario parameters: Global vaccination options	Parámetros de situación: Opciones de vacunación global
Global vaccination options	Opciones de vacunación global
Scenario parameters: Vaccination	Parámetros de situación: Vacunación
Vaccination	Vacunación
Scenario parameters: Vaccination priorities	Parámetros de situación: Prioridades de vacunación
Vaccination priorities	Prioridades de vacunación
FORM CAPTION	FORM CAPTION
Scenario parameters: Zone parameters	Parámetros de situación: Parámetros de zona
Zone parameters	Parámetros de zona
Scenario parameters: Zones	Parámetros de situación: Zonas
Add zone	Añadir zona
Rename selected zone	Renombrar zona seleccionada
Remove selected zone	Remover zona seleccionada
Parameters of selected zone	Parámetros de la zona seleccionada
Zone radius (km):	Radio de la zona (km):
1.5	1.5
High risk	Riesgo alto
Moderate risk	Riesgo moderado
Low risk	Riesgo bajo
Maximum distance spread under these conditions (in km, minimum 1 km):	Distancia máxima de diseminación bajo estas circumstancias (en km, mínimo 1 kilómetro):
Probability of spread/contg. day, at 1 km, average unit sizes (0 to 1):	Probabilidad de diseminación/día de contagio, a 1 km, tamaño de unidad promedio (0 a 1):
Airborne transport delay:	Demora de transporte aerógeno:
This parameter is a probability density function	Este parámetro es una función de probabilidad de densidad
(The rate of disease declines exponentially from the source: a maximum distance of spread is not required.)	(La tasa de la enfermedad declina exponencialmente desde la fuente: distancia maxima de diseminación no requerida)
Model airborne spread between these production types	Modelar transmisión aerógena entre estos tipos de producción
Fixed baseline contact rate (integer) (recipient units/unit/day):	Tasa de contacto basal fija (entero) (unidades recipientes/unidad/día):
Mean baseline contact rate (recipient units/unit/day):	Tasa de contacto basal promedio (unidades recipientes/unidad/día):
Latent units can spread disease	Unidades en estado latente pueden diseminar enfermedad
Subclinical units can spread disease	Unidades en estado subclínico pueden diseminar la enfermedad
Use fixed baseline contact rate	Usar tasa de contacto basal fijo
Probability of infection transfer (if source positive) (0 to 1):	Probabilidad de transferencia de infección (si la fuente es positiva)(0 a 1):
Distance distribution of recipient units:	Distribución de la distancia entre unidades recipientes:
Shipping delay:	Demora en transporte:
Effect of movement controls on baseline contact rate, after detection in any production type (Note: this effect does not apply within zones: movement controls must be specified separately for each zone):	Efecto de control de movimientos en la tasa de contacto base después de detección en algún tipo de producción (Nota:este efecto no aplica dentro de las zonas:el movimiento de los controles debe especificarse por separado para cada zona):
This parameter is a relational function	Este parámetro es una función de relación
Model direct contact spread	Modelar diseminación por contacto directo
Model indirect contact spread	Modelar diseminación por contacto indirecto
Table of daily costs	Tabla de costos diarios
Graph of daily costs	Gráfico de costos diarios
Track direct costs for this production type	Seguir costos directos para este tipo de producción
Cost of appraisal (per unit):	Costo de tasación (por unidad):
Cost of cleaning and disinfection (per unit):	Costo de limpieza y desinfección (por unidad):
Indemnification (per animal):	Indemnización (por animal):
Carcass disposal (per animal):	Descarte de carcasas (por animal):
Euthanasia (per animal):	Eutanasia (por animal):
